Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-28,354320,알멕,R1C1,80600.0,-9.18,-14.02,-17.74,3,,,,,,
2026-05-28,306620,지아이에스,R2C1,3480.0,-4.89,-7.61,-7.61,3,,,,,,
2026-05-28,006660,삼성공조,R3C4,18280.0,-0.77,-10.72,-10.72,3,,,,,,
2026-05-28,451760,컨텍,R1C1,17960.0,-2.9,-11.47,-20.04,3,,,,,,
2026-05-28,012200,계양전기,R2C1,8120.0,0.74,-7.02,-7.02,3,,,,,,
2026-05-28,095660,네오위즈,R2C1,19960.0,-3.16,-1.9,-3.46,3,,,,,,
2026-05-28,021240,코웨이,R1C1,93700.0,-3.95,-3.95,-3.95,3,,,,,,
2026-05-28,035900,JYP Ent.,R1C1,58000.0,-0.34,-0.52,-0.52,3,,,,,,
2026-05-28,259960,크래프톤,R1C1,257500.0,0.0,0.0,1.55,3,,,,,,
2026-05-28,420770,기가비스,R1C1,130800.0,-2.45,8.1,8.1,3,,,,,,
2026-05-28,101670,하이드로리튬,R4C3,2030.0,-15.32,-22.61,-29.06,3,,,,,,
2026-05-28,394420,리센스메디컬,R1C1,29000.0,-9.31,-9.31,-21.03,3,,,,,,
2026-05-28,259630,엠플러스,R2C1,15350.0,-2.28,-8.21,-18.24,3,,,,,,
2026-05-28,009150,삼성전기,R1C2,1704000.0,0.0,24.82,24.82,3,,,,,,
2026-05-28,279570,케이뱅크,R1C2,5690.0,0.0,1.76,1.76,3,,,,,,
2026-05-28,001820,삼화콘덴서,R2C3,148000.0,0.0,0.74,0.74,3,,,,,,
2026-05-28,204270,제이앤티씨,R1C2,21350.0,0.0,-0.94,-0.94,3,,,,,,
2026-05-28,003280,흥아해운,R4C3,2530.0,0.0,-17.0,-17.0,3,,,,,,
2026-05-28,005850,에스엘,R2C1,75500.0,-0.53,-0.53,-2.38,3,,,,,,
2026-05-28,052710,아모텍,R1C3,29650.0,0.0,-4.22,-4.22,3,,,,,,
2026-05-28,095610,테스,R1C1,121800.0,0.0,-2.22,-2.22,3,,,,,,
2026-05-28,251270,넷마블,R1C1,41900.0,1.43,1.43,3.1,3,,,,,,
2026-05-28,010580,에스엠벡셀,R4C3,2615.0,-11.66,-11.66,-20.08,3,,,,,,
2026-05-28,126730,코칩,R4C3,30800.0,0.0,-2.11,-2.11,3,,,,,,
2026-05-28,006110,삼아알미늄,R3C1,87500.0,-16.8,-16.8,-19.31,3,,,,,,
2026-05-28,107640,한중엔시에스,R4C1,56400.0,-6.38,-10.46,-13.03,3,,,,,,
2026-05-28,127120,제이에스링크,R2C1,39200.0,5.74,5.36,9.31,3,,,,,,
2026-05-28,012200,계양전기,R1C2,8180.0,0.0,-7.7,-7.7,3,,,,,,
2026-05-28,0088M0,메쥬,R4C2,30450.0,-15.44,-18.88,-25.45,3,,,,,,
2026-05-28,084990,헬릭스미스,R3C2,7420.0,1.89,-14.15,-14.15,3,,,,,,
2026-05-28,024800,유성티엔에스,R4C4,5980.0,-16.39,-16.39,-18.98,3,,,,,,
2026-05-28,033780,KT&G,R1C1,181700.0,1.65,1.65,2.37,3,,,,,,
2026-05-28,021240,코웨이,R1C1,93700.0,-3.95,-3.95,-3.95,3,,,,,,
2026-05-28,365270,큐라클,R3C1,15240.0,3.35,3.35,-4.86,3,,,,,,
2026-05-28,000430,대원강업,R1C2,4720.0,-0.21,-3.18,0.85,3,,,,,,
2026-05-28,181710,NHN,R3C2,40000.0,27.25,27.25,36.25,3,,,,,,
2026-05-28,382840,원준,R4C4,9960.0,0.5,0.5,-16.06,3,,,,,,
2026-05-28,259960,크래프톤,R1C1,257500.0,0.0,0.0,1.55,3,,,,,,
2026-05-28,001040,CJ,R1C1,171300.0,-5.6,-5.6,-1.46,3,,,,,,
2026-05-28,065680,우주일렉트로,R4C3,46700.0,-2.46,-2.25,-9.42,3,,,,,,
2026-05-28,024060,흥구석유,R4C3,15910.0,0.0,-21.56,-21.56,3,,,,,,
2026-05-28,259630,엠플러스,R3C1,15350.0,-2.28,-8.21,-18.24,3,,,,,,
2026-05-28,000660,SK하이닉스,R2C2,2289000.0,-4.41,1.92,1.92,3,,,,,,
2026-05-28,034220,LG디스플레이,R2C3,14420.0,-3.74,11.58,11.58,3,,,,,,
2026-05-28,009150,삼성전기,R3C3,1849000.0,-7.84,15.04,15.04,3,,,,,,
2026-05-28,373220,LG에너지솔루션,R2C3,442000.0,-3.17,3.62,3.62,3,,,,,,
2026-05-28,035420,NAVER,R2C3,205000.0,-3.27,14.15,14.15,3,,,,,,
2026-05-28,347850,디앤디파마텍,R1C4,107500.0,-0.84,-12.0,-12.0,3,,,,,,
2026-05-28,006400,삼성SDI,R2C3,676000.0,-3.25,1.78,1.78,3,,,,,,
2026-05-28,001740,SK네트웍스,R1C3,11980.0,-2.5,-5.84,-5.84,3,,,,,,
2026-05-28,080220,제주반도체,R3C1,109700.0,-7.84,-10.85,-10.85,3,,,,,,
2026-05-28,066970,엘앤에프,R2C3,169200.0,-3.13,-0.53,-0.53,3,,,,,,
2026-05-28,279570,케이뱅크,R1C2,5780.0,-1.56,0.17,0.17,3,,,,,,
2026-05-28,011070,LG이노텍,R2C3,1134000.0,-5.47,28.57,28.57,3,,,,,,
2026-05-28,001820,삼화콘덴서,R2C4,156200.0,-5.25,-4.55,-4.55,3,,,,,,
2026-05-28,353200,대덕전자,R2C2,164800.0,-3.16,15.84,15.84,3,,,,,,
2026-05-28,007390,네이처셀,R2C3,32300.0,-3.41,-5.88,-5.88,3,,,,,,
2026-05-28,047810,한국항공우주,R1C1,167900.0,-0.95,0.24,0.24,3,,,,,,
2026-05-28,032830,삼성생명,R2C1,357500.0,-2.94,8.67,8.67,3,,,,,,
2026-05-28,051910,LG화학,R2C2,344500.0,-3.19,6.53,6.53,3,,,,,,
2026-05-28,332570,PS일렉트로닉스,R4C1,13000.0,-17.54,-9.54,-9.54,3,,,,,,
2026-05-28,358570,지아이이노베이션,R3C2,15900.0,-8.05,-8.93,-8.93,3,,,,,,
2026-05-28,161390,한국타이어앤테크놀로지,R2C2,63000.0,-3.17,6.03,6.03,3,,,,,,
2026-05-28,452260,한화갤러리아,R3C1,3070.0,-7.49,-1.95,-1.95,3,,,,,,
2026-05-28,466100,클로봇,R2C3,41750.0,-4.79,5.39,5.39,3,,,,,,
2026-05-28,204270,제이앤티씨,R2C2,22200.0,-3.83,-4.73,-4.73,3,,,,,,
2026-05-28,278470,에이피알,R1C2,400500.0,-1.87,-1.25,-1.25,3,,,,,,
2026-05-28,397030,에이프릴바이오,R2C2,70000.0,-4.0,-8.86,-8.86,3,,,,,,
2026-05-28,003690,코리안리,R1C1,13660.0,0.0,-5.93,-5.93,3,,,,,,
2026-05-28,052710,아모텍,R1C3,30200.0,-1.82,-5.96,-5.96,3,,,,,,
2026-05-28,095610,테스,R1C2,122300.0,-0.41,-2.62,-2.62,3,,,,,,
2026-05-28,005850,에스엘,R2C1,75500.0,-0.53,-0.53,-2.38,3,,,,,,
2026-05-28,087010,펩트론,R3C3,320000.0,-10.47,-5.94,-5.94,3,,,,,,
2026-05-28,032350,롯데관광개발,R1C1,19470.0,-1.69,-1.9,-1.9,3,,,,,,
2026-05-28,001340,PKC,R4C4,7680.0,-9.11,-9.11,-10.81,3,,,,,,
2026-05-28,007810,코리아써키트,R4C2,112000.0,-12.41,6.52,6.52,3,,,,,,
2026-05-28,226950,올릭스,R1C2,180100.0,-2.72,-2.78,-2.78,3,,,,,,
2026-05-28,041190,우리기술투자,R2C1,5890.0,-3.06,3.74,3.74,3,,,,,,
2026-05-28,008770,호텔신라,R2C1,55300.0,0.0,-0.36,-0.36,3,,,,,,
2026-05-28,096530,씨젠,R1C1,30600.0,-1.96,-0.65,-0.65,3,,,,,,
2026-05-28,033780,KT&G,R1C1,181700.0,1.65,1.65,2.37,3,,,,,,
2026-05-28,078600,대주전자재료,R1C1,153500.0,-2.41,-0.26,-0.26,3,,,,,,
2026-05-28,357880,SKAI,R2C2,5370.0,-5.4,-5.4,-5.4,3,,,,,,
2026-05-28,251270,넷마블,R1C1,41900.0,1.43,1.43,3.1,3,,,,,,
2026-05-28,383310,에코프로에이치엔,R2C3,32300.0,-2.94,-1.24,-1.24,3,,,,,,
2026-05-28,242040,나무기술,R3C3,7490.0,-7.34,17.22,17.22,3,,,,,,
2026-05-28,010580,에스엠벡셀,R4C3,2615.0,-11.66,-11.66,-20.08,3,,,,,,
2026-05-28,127120,제이에스링크,R2C1,39200.0,5.74,5.36,9.31,3,,,,,,
