Date,Open,High,Low,Close,Volume,Change
2024-11-19,2155,2170,1996,1999,7280825,
2024-11-20,2000,2005,1998,2000,263735,0.0005002501250626
2024-11-21,2000,2005,2000,2000,80393,0.0
2024-11-22,2000,2005,2000,2005,124798,0.0024999999999999
2024-11-25,2005,2015,2000,2005,152570,0.0
2024-11-26,2005,2015,2005,2010,36942,0.0024937655860348
2024-11-27,2005,2020,2005,2015,52097,0.0024875621890547
2024-11-28,2010,2020,2005,2010,64718,-0.0024813895781637
2024-11-29,2010,2015,2005,2010,29323,0.0
2024-12-02,2010,2010,2000,2000,8549,-0.0049751243781094
2024-12-03,2000,2010,2000,2005,12406,0.0024999999999999
2024-12-04,1997,2005,1995,2000,44527,-0.0024937655860348
2024-12-05,2000,2005,1999,2005,8082,0.0024999999999999
2024-12-06,2000,2010,1998,2000,18503,-0.0024937655860348
2024-12-09,2000,2005,1990,2000,34723,0.0
2024-12-10,1999,2005,1997,1997,15175,-0.0014999999999999
2024-12-11,1996,2000,1993,2000,3365,0.0015022533800701
2024-12-12,1999,2005,1997,2000,26067,0.0
2024-12-13,2000,2000,1997,1997,262,-0.0014999999999999
2024-12-16,1997,2005,1997,2005,4177,0.0040060090135203
2024-12-17,1996,2005,1996,2005,20940,0.0
2024-12-18,2000,2005,2000,2000,1585,-0.0024937655860348
2024-12-19,2000,2005,1997,2000,2785,0.0
2024-12-20,2000,2005,1995,2005,17847,0.0024999999999999
2024-12-23,1998,2005,1985,1986,17170,-0.0094763092269326
2024-12-24,1987,1998,1987,1997,5967,0.0055387713997985
2024-12-26,1997,2000,1995,1998,4782,0.0005007511266901
2024-12-27,1992,1998,1991,1995,2651,-0.0015015015015015
2024-12-30,1991,2000,1991,2000,5025,0.0025062656641603
2025-01-02,2000,2000,1998,2000,970,0.0
2025-01-03,2000,2005,1999,2000,19767,0.0
2025-01-06,1995,2005,1995,1999,11388,-0.0004999999999999
2025-01-07,1999,2005,1999,2005,12155,0.0030015007503751
2025-01-08,2000,2005,1997,2000,14185,-0.0024937655860348
2025-01-09,1998,2005,1998,1999,2917,-0.0004999999999999
2025-01-10,2000,2000,1999,2000,14018,0.0005002501250626
2025-01-13,1997,2005,1997,2005,6834,0.0024999999999999
2025-01-14,1997,2005,1996,2000,2904,-0.0024937655860348
2025-01-15,2000,2005,2000,2005,8171,0.0024999999999999
2025-01-16,2005,2005,2000,2005,1965,0.0
2025-01-17,2000,2005,2000,2005,1676,0.0
2025-01-20,2005,2005,2000,2005,5920,0.0
2025-01-21,2000,2005,2000,2000,1036,-0.0024937655860348
2025-01-22,2000,2005,1997,2000,461,0.0
2025-01-23,1991,2005,1991,1999,9554,-0.0004999999999999
2025-01-24,1999,2005,1999,1999,2530,0.0
2025-01-31,1999,2005,1998,2000,6496,0.0005002501250626
2025-02-03,1992,2005,1992,2005,1420,0.0024999999999999
2025-02-04,2005,2010,2000,2010,39196,0.0024937655860348
2025-02-05,2000,2005,2000,2005,8452,-0.0024875621890547
2025-02-06,2005,2010,2000,2005,21849,0.0
2025-02-07,2005,2015,2005,2015,17853,0.0049875311720697
2025-02-10,2000,2020,2000,2010,3310,-0.0024813895781637
2025-02-11,2005,2010,2005,2010,5254,0.0
2025-02-12,2010,2025,2005,2025,31963,0.007462686567164
2025-02-13,2020,2025,2010,2020,23586,-0.0024691358024691
2025-02-14,2015,2025,2010,2020,3114,0.0
2025-02-17,2015,2020,2015,2020,4435,0.0
2025-02-18,2015,2025,2015,2020,1568,0.0
2025-02-19,2015,2025,2015,2025,7093,0.0024752475247524
2025-02-20,2015,2025,2015,2015,3701,-0.0049382716049383
2025-02-21,2015,2020,2015,2020,4281,0.0024813895781636
2025-02-24,2015,2025,2015,2025,4371,0.0024752475247524
2025-02-25,2020,2030,2020,2025,30628,0.0
2025-02-26,2020,2030,2020,2025,3970,0.0
2025-02-27,2020,2030,2020,2030,16441,0.0024691358024691
2025-02-28,2030,2035,2025,2035,2774,0.0024630541871921
2025-03-04,2020,2035,2020,2030,3933,-0.0024570024570024
