Date,Open,High,Low,Close,Volume,Change
2021-05-31,56200,56600,55700,56200,17137,0.0017825311942958
2021-06-01,56200,56400,55200,55600,27709,-0.0106761565836298
2021-06-02,57300,57300,56000,56800,64365,0.0215827338129497
2021-06-03,57000,57100,56300,56700,35864,-0.0017605633802817
2021-06-04,56700,56900,56100,56700,18908,0.0
2021-06-07,56700,56700,55500,56500,28389,-0.0035273368606701
2021-06-08,56400,56400,55500,55500,23449,-0.0176991150442478
2021-06-09,55500,55800,55000,55600,31314,0.0018018018018017
2021-06-10,55300,57000,55000,57000,40604,0.0251798561151079
2021-06-11,57000,57600,56400,56800,27229,-0.0035087719298245
2021-06-14,56800,56900,55800,56400,19435,-0.0070422535211267
2021-06-15,56400,56400,55500,55700,22334,-0.0124113475177305
2021-06-16,55600,56400,55600,56000,13509,0.0053859964093356
2021-06-17,56100,56100,55300,56000,19913,0.0
2021-06-18,55800,56500,55400,56500,15985,0.0089285714285713
2021-06-21,56000,56300,55500,56100,22732,-0.0070796460176991
2021-06-22,55800,56200,55500,55900,14886,-0.0035650623885917
2021-06-23,56000,56000,55200,55300,24834,-0.0107334525939176
2021-06-24,55300,55600,53900,54500,51903,-0.0144665461121157
2021-06-25,54500,54900,54000,54500,35021,0.0
2021-06-28,55000,55600,54600,55300,41646,0.0146788990825688
2021-06-29,55500,55500,55100,55300,13457,0.0
2021-06-30,55600,55600,55100,55300,10577,0.0
2021-07-01,55200,55600,54900,55000,32493,-0.0054249547920434
2021-07-02,55300,55800,54900,55500,21554,0.009090909090909
2021-07-05,56000,56600,55500,55500,34951,0.0
2021-07-06,56000,56200,55300,55500,27567,0.0
2021-07-07,55500,55900,54900,55700,29419,0.0036036036036035
2021-07-08,55800,56000,54400,54900,36602,-0.0143626570915619
2021-07-09,55100,55100,53100,53700,51948,-0.0218579234972677
2021-07-12,54200,54700,53700,53900,30055,0.0037243947858474
2021-07-13,53700,54500,53500,53800,31921,-0.0018552875695733
2021-07-14,53700,54500,53700,54500,25984,0.0130111524163569
2021-07-15,55100,56000,54800,55700,40776,0.0220183486238532
2021-07-16,55900,55900,55400,55600,21090,-0.0017953321364452
2021-07-19,55200,55600,54400,55100,19007,-0.0089928057553957
2021-07-20,54500,55000,53800,54200,18800,-0.0163339382940108
2021-07-21,54200,54500,53800,53900,9683,-0.0055350553505535
2021-07-22,54300,54400,53800,54000,20333,0.0018552875695732
2021-07-23,54000,54700,53900,54000,15274,0.0
2021-07-26,54800,55800,54500,54600,34326,0.011111111111111
2021-07-27,55200,55400,54600,54900,13157,0.0054945054945054
2021-07-28,54700,55100,54300,54900,19173,0.0
2021-07-29,55100,55500,54900,55400,16486,0.0091074681238616
2021-07-30,55600,55900,54700,54900,23481,-0.0090252707581227
2021-08-02,54800,55200,54500,54900,14756,0.0
2021-08-03,54900,54900,54300,54800,11244,-0.0018214936247723
2021-08-04,55300,55300,54800,54900,9567,0.0018248175182482
2021-08-05,55000,55700,54900,55400,17341,0.0091074681238616
2021-08-06,55600,55600,54900,55300,10933,-0.0018050541516245
2021-08-09,55500,55500,54900,55300,17048,0.0
2021-08-10,54900,55500,54500,55400,18802,0.0018083182640145
2021-08-11,55200,55700,55000,55100,22615,-0.0054151624548736
2021-08-12,55400,55400,54700,54900,8538,-0.0036297640653357
2021-08-13,54800,54900,53700,54100,37827,-0.0145719489981784
2021-08-17,54100,54200,53000,53500,36612,-0.011090573012939
2021-08-18,53500,54500,53300,54300,33509,0.0149532710280373
2021-08-19,54200,55000,52400,52600,40516,-0.0313075506445672
2021-08-20,52700,52800,50100,51700,54852,-0.0171102661596957
2021-08-23,51600,52300,50800,52300,26785,0.011605415860735
2021-08-24,52500,53100,52400,52700,21678,0.0076481835564052
2021-08-25,52900,52900,51800,51900,17669,-0.0151802656546489
2021-08-26,52100,52600,51300,51800,12300,-0.0019267822736031
2021-08-27,51700,53300,51600,53100,16091,0.0250965250965251
2021-08-30,53400,53800,52800,53200,11960,0.0018832391713747
2021-08-31,52800,53200,52200,52700,18675,-0.0093984962406015
2021-09-01,52700,53200,52400,52900,15641,0.0037950664136623
2021-09-02,52900,53700,52700,53500,15654,0.0113421550094519
2021-09-03,53700,54300,53300,53800,19844,0.005607476635514
2021-09-06,55200,55400,54200,54700,39790,0.0167286245353159
2021-09-07,55300,55500,53800,55000,34375,0.0054844606946984
2021-09-08,55000,55000,53600,54300,31253,-0.0127272727272726
2021-09-09,54200,54600,53000,53900,27243,-0.007366482504604
2021-09-10,54000,54800,53400,54200,19662,0.0055658627087198
2021-09-13,54200,55000,53900,54900,25519,0.0129151291512914
2021-09-14,54900,55100,54600,54700,13977,-0.0036429872495445
2021-09-15,54700,54900,54200,54500,8754,-0.0036563071297989
2021-09-16,54500,54600,54200,54400,7959,-0.001834862385321
2021-09-17,54400,54600,54000,54500,12276,0.0018382352941177
2021-09-23,53900,55000,53800,54200,13843,-0.0055045871559632
2021-09-24,54000,54500,53600,53900,9474,-0.0055350553505535
2021-09-27,53600,54600,53500,54400,12802,0.0092764378478664
2021-09-28,54500,54500,52800,52900,17775,-0.0275735294117647
2021-09-29,52500,52700,51900,52100,18540,-0.0151228733459357
2021-09-30,52000,52700,51800,51800,13368,-0.0057581573896353
2021-10-01,51900,52500,50700,51100,24568,-0.0135135135135134
2021-10-05,50600,51100,50100,50400,19480,-0.0136986301369863
2021-10-06,50100,51100,48800,49500,41811,-0.0178571428571429
2021-10-07,49850,50200,49050,49500,48965,0.0
2021-10-08,49600,49850,47700,48250,76334,-0.0252525252525253
2021-10-12,48250,48400,47150,47350,42330,-0.0186528497409326
2021-10-13,47850,48250,47300,47550,21982,0.0042238648363253
2021-10-14,47950,48250,47400,48100,37633,0.0115667718191376
2021-10-15,48300,48550,47800,48300,34989,0.004158004158004
2021-10-18,48850,49150,48200,48850,48670,0.0113871635610764
2021-10-19,48800,49150,48150,48550,29156,-0.0061412487205732
2021-10-20,48600,48850,47600,47750,42365,-0.0164778578784757
2021-10-21,47750,48100,47300,47550,29922,-0.0041884816753926
2021-10-22,47550,47800,47050,47500,27023,-0.0010515247108306
2021-10-25,47500,48050,47000,48000,14355,0.0105263157894737
2021-10-26,48050,48800,47450,47850,37443,-0.003125
2021-10-27,47900,48100,47650,48000,12214,0.0031347962382444
2021-10-28,48150,48200,47700,47900,22965,-0.0020833333333333
2021-10-29,48150,48150,47350,47850,17313,-0.0010438413361169
2021-11-01,47900,48000,47350,47500,22191,-0.0073145245559038
2021-11-02,48150,48200,47500,47650,22727,0.003157894736842
2021-11-03,47800,47950,47350,47750,9047,0.0020986358866736
2021-11-04,47550,48000,46950,46950,27521,-0.0167539267015707
2021-11-05,46950,47050,46000,46200,24934,-0.0159744408945686
2021-11-08,46200,46200,45250,45750,27641,-0.0097402597402597
2021-11-09,46300,46300,45450,46100,12454,0.0076502732240437
2021-11-10,46000,46000,44850,45200,22676,-0.0195227765726681
2021-11-11,44900,45300,44900,45300,13134,0.002212389380531
2021-11-12,43900,44100,43050,43850,87490,-0.0320088300220751
2021-11-15,44000,45150,43800,45100,32933,0.0285062713797035
2021-11-16,45450,45450,44450,44800,14040,-0.0066518847006651
2021-11-17,44500,44750,43500,43800,19532,-0.0223214285714286
2021-11-18,43800,44000,42250,42300,35673,-0.0342465753424657
2021-11-19,42600,42850,42300,42550,10278,0.0059101654846336
2021-11-22,42550,42850,42150,42200,29438,-0.0082256169212691
2021-11-23,42500,42850,42150,42250,16176,0.0011848341232227
2021-11-24,42150,42850,42150,42250,8026,0.0
2021-11-25,42150,42600,41350,41350,17139,-0.0213017751479289
2021-11-26,41800,41800,40500,40850,11949,-0.0120918984280532
2021-11-29,40350,41150,40250,40350,14093,-0.0122399020807834
2021-11-30,40350,40900,39800,39850,22529,-0.0123915737298636
2021-12-01,39850,40750,39250,40600,13675,0.0188205771643663
2021-12-02,40600,41900,40150,41900,12172,0.0320197044334975
2021-12-03,42100,42650,41500,42550,10993,0.0155131264916468
2021-12-06,42500,42700,42050,42550,14467,0.0
2021-12-07,42550,42750,42000,42350,16278,-0.0047003525264395
2021-12-08,42350,42950,41300,41650,16865,-0.0165289256198346
2021-12-09,41350,42200,41100,42200,15396,0.0132052821128452
2021-12-10,42200,42500,41450,41600,13096,-0.014218009478673
2021-12-13,41600,42300,41300,41600,11436,0.0
2021-12-14,41200,41950,41200,41600,5405,0.0
2021-12-15,41600,42400,41350,42100,6909,0.0120192307692308
2021-12-16,42300,42500,41650,42250,13071,0.0035629453681709
2021-12-17,42300,43000,41450,42950,17054,0.016568047337278
2021-12-20,42800,43000,42300,42400,7938,-0.0128055878928987
2021-12-21,42300,42600,41750,42500,7768,0.0023584905660376
2021-12-22,42350,43050,42350,42850,9011,0.0082352941176471
2021-12-23,42850,44550,42850,44100,17569,0.029171528588098
2021-12-24,44550,44750,43800,44000,10639,-0.0022675736961451
2021-12-27,43650,44050,40900,43750,33123,-0.0056818181818182
2021-12-28,43350,43950,43300,43700,10308,-0.0011428571428571
2021-12-29,44000,44100,43500,44100,13458,0.0091533180778031
2021-12-30,43800,44250,43650,44200,6038,0.002267573696145
2022-01-03,44200,44200,43500,43650,7136,-0.0124434389140271
2022-01-04,43300,44000,42550,42750,19932,-0.0206185567010309
2022-01-05,42900,43350,42700,43200,7261,0.0105263157894737
2022-01-06,42700,43000,42250,42450,9582,-0.0173611111111111
2022-01-07,42450,43600,42400,42750,7275,0.0070671378091873
2022-01-10,43000,43200,41800,42750,10358,0.0
2022-01-11,42250,42700,41600,41950,8139,-0.0187134502923976
2022-01-12,42350,43250,42350,43000,10697,0.0250297973778308
2022-01-13,43500,43500,42600,42750,5793,-0.0058139534883721
2022-01-14,42750,42850,41700,42500,9844,-0.0058479532163743
2022-01-17,42000,42400,41600,42150,5034,-0.008235294117647
2022-01-18,42150,42250,41550,41650,8375,-0.0118623962040331
2022-01-19,41600,41600,41000,41200,11337,-0.0108043217286915
2022-01-20,41250,42500,40900,42200,15328,0.0242718446601941
2022-01-21,41850,41850,40650,40900,9011,-0.0308056872037915
2022-01-24,40500,40500,39900,40100,11190,-0.0195599022004889
2022-01-25,40100,40350,39000,39550,17383,-0.0137157107231919
2022-01-26,38900,40000,38900,39250,9416,-0.0075853350189633
2022-01-27,40050,40050,38000,38000,16940,-0.0318471337579617
2022-01-28,38200,39900,38000,39450,8522,0.0381578947368421
2022-02-03,40000,40850,39850,40200,12815,0.0190114068441065
2022-02-04,40950,40950,39550,40850,8370,0.0161691542288557
2022-02-07,40800,40800,39900,40800,7007,-0.0012239902080782
2022-02-08,40350,40950,40100,40500,6554,-0.0073529411764705
2022-02-09,40850,40850,40050,40400,12362,-0.0024691358024691
2022-02-10,40400,40800,39850,39900,10426,-0.0123762376237623
2022-02-11,39800,40350,39700,39800,8210,-0.0025062656641604
2022-02-14,39750,39750,38500,38600,17409,-0.0301507537688442
2022-02-15,39250,39250,38000,38100,10989,-0.0129533678756477
2022-02-16,38800,39200,38150,38900,10702,0.0209973753280841
2022-02-17,39150,40050,38600,39600,12670,0.0179948586118252
2022-02-18,39200,39750,38900,39750,16032,0.0037878787878788
2022-02-21,39750,40000,39100,39800,6126,0.0012578616352201
2022-02-22,39400,39850,38350,38600,13293,-0.0301507537688442
2022-02-23,38750,39700,38550,39500,12127,0.0233160621761658
2022-02-24,38700,40000,38300,38750,15116,-0.0189873417721518
2022-02-25,38650,39450,38150,38950,14437,0.0051612903225806
2022-02-28,39100,39200,38150,38600,13479,-0.0089858793324775
2022-03-02,38250,38800,38250,38600,9793,0.0
2022-03-03,38800,40000,38650,40000,24767,0.0362694300518133
2022-03-04,39950,39950,38950,39550,14495,-0.0112499999999999
2022-03-07,39750,40100,39150,39650,21189,0.0025284450063212
2022-03-08,39600,39600,38500,39250,17356,-0.0100882723833543
2022-03-10,39350,39550,39050,39200,10383,-0.0012738853503184
2022-03-11,39600,39600,38900,39250,8743,0.0012755102040815
2022-03-14,39250,39250,38350,38850,15920,-0.0101910828025477
2022-03-15,38850,38850,38100,38200,9954,-0.0167310167310167
2022-03-16,38200,38750,38200,38700,10218,0.013089005235602
2022-03-17,39050,39450,38650,39350,16524,0.0167958656330748
2022-03-18,39600,41500,39150,41150,44417,0.0457433290978399
2022-03-21,41600,41700,40450,41150,25076,0.0
2022-03-22,41100,41450,40700,41150,13429,0.0
2022-03-23,41300,41600,40550,41050,20960,-0.0024301336573511
2022-03-24,40950,40950,40200,40850,9853,-0.0048721071863581
2022-03-25,40850,41100,40000,40250,14242,-0.0146878824969399
2022-03-28,40300,41000,40250,40700,11431,0.0111801242236024
2022-03-29,40650,41250,40650,41000,7931,0.0073710073710073
2022-03-30,41200,41200,40300,40400,14525,-0.0146341463414634
2022-03-31,40800,40800,40300,40350,13521,-0.0012376237623762
2022-04-01,40400,40600,39950,40200,12985,-0.0037174721189591
2022-04-04,40400,40600,40000,40300,17286,0.0024875621890547
2022-04-05,40700,40700,40200,40300,9317,0.0
2022-04-06,40300,40300,39650,39850,15554,-0.011166253101737
2022-04-07,39800,40200,39500,40000,12615,0.0037641154328733
2022-04-08,40050,40250,39500,39900,7625,-0.0024999999999999
2022-04-11,40000,40350,39300,39900,10741,0.0
2022-04-12,39900,39900,38600,38850,23108,-0.0263157894736841
2022-04-13,38850,39000,38500,38800,19421,-0.0012870012870013
2022-04-14,39200,40150,39000,39750,16654,0.0244845360824741
2022-04-15,39200,39600,38400,38600,39614,-0.0289308176100628
2022-04-18,38700,39300,38600,39250,14151,0.016839378238342
2022-04-19,39350,40150,39050,40000,16420,0.019108280254777
2022-04-20,40100,40650,39750,40050,21584,0.0012499999999999
2022-04-21,40000,40500,39650,39800,12584,-0.0062421972534332
2022-04-22,39600,39750,39100,39500,10570,-0.007537688442211
2022-04-25,39400,39900,38650,39000,26848,-0.0126582278481012
2022-04-26,38800,39200,38800,39050,7698,0.0012820512820512
2022-04-27,38700,38750,38250,38500,12183,-0.0140845070422535
2022-04-28,38500,38700,38150,38700,10292,0.0051948051948051
2022-04-29,38900,39050,38500,38950,11001,0.0064599483204135
2022-05-02,38850,39200,38750,39100,10555,0.0038510911424902
2022-05-03,39150,39150,38800,39000,12291,-0.0025575447570332
2022-05-04,39000,39000,38500,38500,11455,-0.0128205128205127
2022-05-06,38450,38500,38050,38300,10604,-0.0051948051948051
2022-05-09,38000,38300,37150,37250,15690,-0.0274151436031331
2022-05-10,37100,37100,36250,36750,15456,-0.0134228187919462
2022-05-11,36950,37350,36150,36750,14012,0.0
2022-05-12,36200,36750,36100,36100,11687,-0.0176870748299319
2022-05-13,36050,36750,36050,36700,6028,0.0166204986149585
2022-05-16,36400,37000,36400,36800,9087,0.0027247956403269
2022-05-17,36750,37200,36350,36700,8298,-0.0027173913043477
2022-05-18,37000,37000,36200,36350,8876,-0.0095367847411443
2022-05-19,36050,36100,35350,35800,10563,-0.015130674002751
2022-05-20,35800,36250,35550,36200,6455,0.0111731843575419
2022-05-23,36250,36350,35950,36250,4724,0.0013812154696133
2022-05-24,36350,36550,35750,36300,5542,0.0013793103448276
2022-05-25,36300,36350,35750,36100,5638,-0.0055096418732781
2022-05-26,35950,36500,35650,35900,12878,-0.005540166204986
2022-05-27,36100,36450,35700,36350,11694,0.0125348189415042
2022-05-30,36650,36800,36100,36550,9066,0.0055020632737277
2022-05-31,36550,36950,36350,36900,5002,0.0095759233926129
2022-06-02,36900,36900,36250,36850,5801,-0.0013550135501354
2022-06-03,36950,37050,36700,37050,6389,0.005427408412483
2022-06-07,37050,37200,36300,36650,8092,-0.0107962213225371
2022-06-08,36500,36650,36000,36250,10811,-0.0109140518417462
2022-06-09,36000,36250,34750,34850,36045,-0.0386206896551724
2022-06-10,34400,34600,33850,34200,21691,-0.0186513629842181
2022-06-13,34000,34000,32850,33300,27421,-0.0263157894736841
2022-06-14,32100,33000,32100,32800,13471,-0.015015015015015
2022-06-15,32750,33000,31850,32000,21942,-0.024390243902439
2022-06-16,32400,32800,31950,32450,8627,0.0140625
2022-06-17,32000,32150,31250,31800,29195,-0.0200308166409861
2022-06-20,31800,31800,30200,31150,22257,-0.020440251572327
2022-06-21,31400,31500,30450,31500,14557,0.0112359550561798
2022-06-22,31600,31700,30200,30600,9415,-0.0285714285714285
2022-06-23,30700,30700,29400,29600,22852,-0.0326797385620915
2022-06-24,29500,31200,29500,30950,16792,0.0456081081081081
2022-06-27,31200,31550,30700,31300,12828,0.011308562197092
2022-06-28,31550,32600,31100,32600,18715,0.0415335463258785
2022-06-29,32550,32700,32050,32700,6095,0.0030674846625766
2022-06-30,32700,32750,32100,32700,8469,0.0
2022-07-01,32550,32700,31800,32700,5977,0.0
2022-07-04,32800,32800,31400,32450,13285,-0.0076452599388379
2022-07-05,32450,32650,32050,32300,5227,-0.0046224961479198
2022-07-06,31750,32500,31400,32150,7351,-0.0046439628482972
2022-07-07,32150,32350,31750,32250,11449,0.0031104199066873
2022-07-08,32400,32400,31700,32200,16535,-0.0015503875968991
2022-07-11,32100,32550,31550,32300,13274,0.0031055900621117
2022-07-12,31800,32100,31300,32000,7518,-0.0092879256965944
2022-07-13,31300,32050,31300,32000,10795,0.0
2022-07-14,32000,32800,31350,32650,18537,0.0203124999999999
2022-07-15,32450,32700,31600,32150,11071,-0.0153139356814701
2022-07-18,31900,32700,31900,32500,9487,0.0108864696734058
2022-07-19,32750,33300,32300,33300,5627,0.0246153846153847
2022-07-20,33600,34550,33100,33500,15913,0.006006006006006
2022-07-21,33300,33900,33100,33900,8504,0.0119402985074625
2022-07-22,33650,34300,33500,34250,11933,0.0103244837758111
2022-07-25,34250,34500,33900,34500,4241,0.0072992700729928
2022-07-26,34400,34650,34100,34650,6389,0.0043478260869564
2022-07-27,34600,35850,34450,35750,21671,0.0317460317460318
2022-07-28,35900,36750,35550,36250,18744,0.0139860139860139
2022-07-29,36600,36600,36000,36300,7874,0.0013793103448276
2022-08-01,36550,36750,35750,36300,7473,0.0
2022-08-02,36000,36400,35400,36350,13820,0.0013774104683195
2022-08-03,36050,36700,35700,36700,8265,0.0096286107290233
2022-08-04,36500,36700,35700,36600,5961,-0.002724795640327
2022-08-05,36950,36950,36200,36550,4945,-0.0013661202185791
2022-08-08,36400,36500,35350,36400,15453,-0.0041039671682626
2022-08-09,36100,36550,36100,36400,10633,0.0
2022-08-10,36400,36400,35800,36300,6974,-0.0027472527472527
